name,canon_smiles,dose_mg,cmax_mg_L,log_cmax_per_dose,n_studies,tmax_h,thalf_h,auc_ng_h_ml,f_pct,formulation,is_prodrug,in_holdout
crizotinib,C[C@@H](Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl,250.0,0.1086138500696103,-3.362054800129314,3,5.0,33.1,2321.0,43.0,tablet,False,False
Savolitinib,C[C@@H](c1ccc2nccn2c1)n1nnc2ncc(-c3cnn(C)c3)nc21,600.0,2.36,-2.405239247413537,1,3.5,6.1,14500.0,68.8,tablet,False,False
voriconazole,C[C@@H](c1ncncc1F)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,200.0,1.0883023428635985,-2.264280431555054,3,1.7,6.34,7020.0,,tablet,False,False
Milvexian,C[C@@H]1CCC[C@H](n2cnc(-c3cc(Cl)ccc3-n3cc(Cl)nn3)cc2=O)c2cc(ccn2)-c2c(cnn2C(F)F)NC1=O,60.0,0.337,-2.250521349512305,1,3.0,9.9,4104.0,,,False,False
tofacitinib,C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12,30.0,0.271595491577026,-2.0431986982403245,3,0.5,3.14,788.0,74.0,powder,False,False
dolutegravir (s/gsk1394572),C[C@@H]1CCO[C@H]2Cn3cc(C(=O)NCc4ccc(F)cc4F)c(=O)c(O)c3C(=O)N12,100.0,8.14,-1.0893755951107988,1,1.0,14.7,136000.0,,suspension,False,False
Ensartinib,C[C@@H]1CN(C(=O)c2ccc(NC(=O)c3cc(O[C@H](C)c4c(Cl)ccc(F)c4Cl)c(N)nn3)cc2)C[C@H](C)N1,225.0,0.264,-2.9305785912415314,1,4.5,17.9,5860.0,,capsule,False,False
levocabastine,C[C@@H]1CN([C@H]2CC[C@](C#N)(c3ccc(F)cc3)CC2)CC[C@]1(C(=O)O)c1ccccc1,0.5,0.0074,-1.8297382846050425,1,1.6,35.7,319.0,,solution,False,False
sparfloxacin,C[C@@H]1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C[C@H](C)N1,400.0,1.2159058315234597,-2.5171600499713143,3,4.4,18.17,32732.0,92.0,tablet,False,False
Zoliflodacin,C[C@@H]1CN2c3c(cc4c(N5C(=O)OC[C@@H]5C)noc4c3F)CC3(C(=O)NC(=O)NC3=O)[C@H]2[C@H](C)O1,200.0,2.01,-1.9978339382434924,1,2.3,5.6,14500.0,,suspension,False,False
vamorolone,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)C3=CC[C@]2(C)[C@@]1(O)C(=O)CO,70.0,0.1219999999999999,-2.758738209339509,1,1.75,1.81,500.0,,,False,False
dexamethasone,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,20.0,0.25722,-1.8907252617697048,1,1.0,4.0,1329.24,,tablet,False,False
fluocortolone,C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@]2(C)[C@H]1C(=O)CO,20.0,0.1860806276859576,-2.0313288333178283,2,1.42,1.63,704.0,80.0,tablet,False,False
fosfomycin,C[C@@H]1O[C@@H]1P(=O)(O)O,3000.0,24.171057072457543,-2.093825610902966,2,2.125,6.77,167950.0,53.1,,False,False
atogepant,C[C@@H]1[C@H](c2c(F)ccc(F)c2F)C[C@H](NC(=O)c2cnc3c(c2)C[C@@]2(C3)C(=O)Nc3ncccc32)C(=O)N1CC(F)(F)F,60.0,0.6936523110495859,-1.9370094128250712,3,1.51,9.4,3532.0,,tablet,False,False
ubrogepant,C[C@@H]1[C@H](c2ccccc2)C[C@H](NC(=O)c2cnc3c(c2)C[C@@]2(C3)C(=O)Nc3ncccc32)C(=O)N1CC(F)(F)F,100.0,0.3303257858978742,-2.481057523081063,3,1.67,4.41,1258.0,,tablet,False,False
zuranolone,C[C@@]1(O)CC[C@H]2[C@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H](C(=O)Cn4cc(C#N)cn4)CC[C@@H]32)C1,30.0,0.0183,-3.214670164989233,1,4.0,16.8,380.6,,capsule,False,False
dexketoprofen,C[C@H](C(=O)O)c1cccc(C(=O)c2ccccc2)c1,25.0,3.4305760294175927,-0.8625729599431073,3,0.5,1.31,4530.0,,tablet,False,False
ursodeoxycholic acid,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,150.0,1.33477,-2.050684822071482,1,2.0,,4436.15,,tablet,False,False
