drug,smiles,dose_mg,cmax_mg_L,source,tier
molnupiravir,CC(C)C(=O)OCC1C(C(C(O1)N2C=CC(=NC2=O)NO)O)O,800.0,2.33,fda_expanded,fda_expanded
montelukast,CC(C)(C1=CC=CC=C1CCC(C2=CC=CC(=C2)C=CC3=NC4=C(C=CC(=C4)Cl)C=C3)SCC5(CC5)CC(=O)O)O,5.0,0.667,fda_expanded,fda_expanded
morphine,CN1CCC23C4C1CC5=C2C(=C(C=C5)O)OC3C(C=C4)O,60.0,0.01865,fda_expanded,fda_expanded
moxifloxacin,COC1=C2C(=CC(=C1N3CC4CCCNC4C3)F)C(=O)C(=CN2C5CC5)C(=O)O,400.0,4.1,gold,gold
naproxen,COc1ccc2cc(CC(C)C(=O)O)ccc2c1,500.0,95.2,pkdb_expanded,pkdb_expanded
naproxen oral,CC(C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O,500.0,64.3,fda_expanded,fda_expanded
nifedipine,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],10.0,0.07508003707622452,gold,gold
norethindrone,CC12CCC3C(C1CCC2(C#C)O)CCC4=CC(=O)CCC34,5.0,0.02619,gold,gold
omeprazole,CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC,20.0,0.1412,gold_clinical,gold_clinical
oseltamivir,CCC(CC)OC1C=C(CC(C1NC(=O)C)N)C(=O)OCC,30.0,0.065,gold,gold
oxybutynin,CCN(CC)CC#CCOC(=O)C(C1CCCCC1)(C2=CC=CC=C2)O,5.0,0.0036000000000000003,fda_expanded,fda_expanded
pantoprazole,COC1=C(C(=NC=C1)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC(F)F)OC,40.0,2.5,gold,gold
paroxetine,C1CNCC(C1C2=CC=C(C=C2)F)COC3=CC4=C(C=C3)OCO4,20.0,0.061700000000000005,fda_expanded,fda_expanded
pazopanib,CC1=C(C=C(C=C1)NC2=NC=CC(=N2)N(C)C3=CC4=NN(C(=C4C=C3)C)C)S(=O)(=O)N,800.0,58.1,fda_expanded,fda_expanded
phenytoin,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,300.0,5.289547529976127,gold,gold
pilocarpine,CCC1C(COC1=O)CC2=CN=CN2C,10.0,0.015,fda_expanded,fda_expanded
pomalidomide,C1CC(=O)NC(=O)C1N2C(=O)C3=C(C2=O)C(=CC=C3)N,4.0,0.0531,gold,gold
posaconazole,CCC(C(C)O)N1C(=O)N(C=N1)C2=CC=C(C=C2)N3CCN(CC3)C4=CC=C(C=C4)OCC5CC(OC5)(CN6C=NC=N6)C7=C(C=C(C=C7)F)F,300.0,0.014,fda_expanded,fda_expanded
primaquine,CC(CCCN)NC1=C2C(=CC(=C1)OC)C=CC=N2,30.0,0.001,gold,gold
progesterone,CC(=O)C1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C,200.0,0.0173,fda_expanded,fda_expanded
propranolol,CC(C)NCC(O)COc1cccc2ccccc12,80.0,0.08223408850692986,gold,gold
quinine,COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O,324.0,3.2,fda_expanded,fda_expanded
quizartinib,CC(C)(C)C1=CC(=NO1)NC(=O)NC2=CC=C(C=C2)C3=CN4C5=C(C=C(C=C5)OCCN6CCOCC6)SC4=N3,53.0,0.14,fda_expanded,fda_expanded
serdexmethylphenidate,COC(=O)C(C1CCCCN1C(=O)OC[N+]2=CC=CC(=C2)C(=O)NC(CO)C(=O)[O-])C3=CC=CC=C3,52.3,0.014,gold,gold
sertraline,CNC1CCC(C2=CC=CC=C12)C3=CC(=C(C=C3)Cl)Cl,50.0,0.165,gold,gold
simvastatin,CCC(C)(C)C(=O)OC1CC(O)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21,40.0,0.0125,pkdb_expanded,pkdb_expanded
sirolimus,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)O)C)C)O)OC)C)C)C)OC,10.0,0.014400000000000001,fda_expanded,fda_expanded
sonidegib,CC1CN(CC(O1)C)C2=NC=C(C=C2)NC(=O)C3=CC=CC(=C3C)C4=CC=C(C=C4)OC(F)(F)F,200.0,1.03,gold,gold
tafenoquine,CC1=CC(=NC2=C1C(=C(C=C2NC(C)CCCN)OC)OC3=CC=CC(=C3)C(F)(F)F)OC,100.0,0.147,fda_expanded,fda_expanded
tamoxifen,CCC(=C(C1=CC=CC=C1)C2=CC=C(C=C2)OCCN(C)C)C3=CC=CC=C3,20.0,0.04,gold,gold
tamsulosin,CCOC1=CC=CC=C1OCCNC(C)CC2=CC(=C(C=C2)OC)S(=O)(=O)N,1.0,0.0101,fda_expanded,fda_expanded
temozolomide,CN1C(=O)N2C=NC(=C2N=N1)C(=O)N,150.0,7.5,gold,gold
tenofovir disoproxil,CC(C)OC(=O)OCOP(=O)(COC(C)CN1C=NC2=C(N=CN=C21)N)OCOC(=O)OC(C)C,300.0,0.38,gold,gold
terbinafine,CC(C)(C)C#CC=CCN(C)CC1=CC=CC2=CC=CC=C21,250.0,1.0,gold,gold
theophylline,CN1C2=C(C(=O)N(C1=O)C)NC=N2,300.0,8.7247,gold_clinical,gold_clinical
tramadol,CN(C)CC1CCCCC1(C2=CC(=CC=C2)OC)O,100.0,0.0643,gold,gold
