canon_smiles,dose_mg,cmax_mg_L,log_cmax_per_dose,name,n_studies
CN1CCC[C@@H]1Cc1c[nH]c2ccc(CCS(=O)(=O)c3ccccc3)cc12,30.0,0.07526438531029968,-2.6005317356523756,eletriptan,3
CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C,5.0,0.044295924971702545,-2.0526062294381373,finasteride,3
Nc1c(Br)cc(Br)cc1CN[C@H]1CC[C@H](O)CC1,30.0,0.0631117640787247,-2.6770109351224756,ambroxol,3
Cc1ccccc1C(=O)Nc1ccc(C(=O)N2CCC[C@@H](O)c3cc(Cl)ccc32)c(C)c1,30.0,0.23083971564878294,-2.1138107240520227,tolvaptan,3
O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CC2)CC1,300.0,7.165576422098047,-1.6218701225310022,olaparib,3
CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,300.0,3.004842180225289,-1.9992995877177395,ofloxacin,3
CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,5.0,0.0009856620730287757,-3.7052419585365675,trifluoperazine,3
CN1CCN2c3ncccc3Cc3ccccc3C2C1,15.0,0.03248949498746152,-2.6643482982758977,mirtazapine,3
CN1CC[C@@H](NC(=O)Nc2ccc(C#N)cc2)C[C@@H]1c1nc2ccccc2[nH]1,100.0,0.7189751295138462,-2.1432861322898717,glasdegib,3
CN1CCc2nc(C(=O)N[C@@H]3C[C@@H](C(=O)N(C)C)CC[C@@H]3NC(=O)C(=O)Nc3ccc(Cl)cn3)sc2C1,60.0,0.26583840789396673,-2.3535335230945393,edoxaban,3
O=C1C(O)=C([C@H]2CC[C@H](c3ccc(Cl)cc3)CC2)C(=O)c2ccccc21,500.0,1.6454419657297856,-2.4826874348783874,atovaquone,3
CCOC(=O)N[C@@H]1CC[C@@H]2[C@@H](C1)C[C@H]1C(=O)O[C@H](C)[C@H]1[C@H]2/C=C/c1ccc(-c2cccc(F)c2)cn1,40.0,0.4544962827111824,-1.9445296558153515,vorapaxar,3
O=C(Nc1ccc(OC(F)(F)Cl)cc1)c1cnc(N2CC[C@@H](O)C2)c(-c2ccn[nH]2)c1,40.0,0.5638841369562785,-1.8508701140285906,asciminib,3
NC(N)=Nc1nc(CSCCC(N)=NS(N)(=O)=O)cs1,20.0,0.06459226121164821,-2.490849507303649,famotidine,3
CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,20.0,0.015396772247574377,-3.113600310021808,loratadine,3
CCOC(=O)CN[C@@H](C(=O)N1CC[C@H]1C(=O)NCc1ccc(/C(N)=N/O)cc1)C1CCCCC1,50.0,0.4084885708511591,-2.087790094473001,ximelagatran,3
N#Cc1ccc(C(c2ccc(C#N)cc2)n2cncn2)cc1,2.5,0.035999367478598575,-1.8416451385427393,letrozole,3
CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)[C@@H]1c1ccccc1Cl,5.0,0.0028118916017344855,-3.249971429693763,levamlodipine,3
N#Cc1ccccc1-c1cc(-c2ccccn2)cn(-c2ccccc2)c1=O,12.0,0.3016504588560529,-1.5996772557669896,perampanel,3
N#Cc1ccnc(N2C(=O)CC[C@H]2C(=O)N(c2cncc(F)c2)[C@H](C(=O)NC2CC(F)(F)C2)c2ccccc2Cl)c1,250.0,1.6098640626968073,-2.191150803021016,ivosidenib,3
NC(=O)c1nc(F)cnc1O,200.0,5.240712695529575,-1.581639644045007,favipiravir,3
Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,1.0,0.0182867950963182,-1.7378624013549189,alprazolam,3
CCN(CC)C(=O)C1(c2ccccc2)CC1CN,50.0,0.13775666000959066,-2.559857399821306,milnacipran,3
CCN(CC)CC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1,5.0,0.012267120861149268,-2.61022736017789,oxybutynin,3
CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,50.0,0.9459657061662258,-1.723094612006885,bicalutamide,3
CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,50.0,0.02429887207079787,-3.3133838897828727,sunitinib,3
CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1,20.0,0.051575826968405916,-2.5885837954718007,zaleplon,3
CCC[S+]([O-])c1ccc2[nH]c(NC(=O)OC)nc2c1,400.0,0.576652441562221,-2.841145856145241,albendazole sulfoxide,3
CC(N)C12CC3CC(CC(C3)C1)C2,200.0,0.2149408916293914,-2.968710949555488,rimantadine,3
O=C(NCC1CCCCN1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F,200.0,0.35144257368219595,-2.755175624972267,flecainide,3
CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12,50.0,0.2600212605888587,-2.283961144907773,sildenafil,3
NC(=O)C[S+]([O-])C(c1ccccc1)c1ccccc1,200.0,4.675923959713604,-1.6311625556517881,modafinil,3
CCCc1nc(C)c2c(=O)nc(-c3cc(S(=O)(=O)N4CCN(CC)CC4)ccc3OCC)[nH]n12,20.0,0.024434431480457427,-2.913027756976384,vardenafil,3
CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,200.0,0.13472039137745676,-3.1715966598336527,labetalol,3
CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,10.0,0.041116895037747785,-2.3859796887327827,metoclopramide,3
CCOc1ccccc1OCCN[C@H](C)Cc1ccc(OC)c(S(N)(=O)=O)c1,0.4,0.007141611104551801,-1.7482637942734518,tamsulosin,3
CC[C@@H](C(N)=O)N1CCCC1=O,1500.0,50.08734773195037,-1.4763632238899287,levetiracetam,3
CC[C@@H](NC(C)C)[C@@H](O)c1ccc(O)c2[nH]c(=O)ccc12,0.1,0.0003341084185540104,-2.4761125812744997,procaterol,3
CC(C)N(CC[C@H](c1ccccc1)c1cc(CO)ccc1O)C(C)C,8.0,0.004491506613248444,-3.250697943523661,5-hmt,3
CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1,2.6,0.005369107279930239,-2.685071266299208,topotecan,3
CCC[C@@H]1CC(=O)N([C@@H](CC)C(N)=O)C1,10.0,0.3069046802717541,-1.5129964885616674,brivaracetam,3
CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,250.0,30.511752668608455,-0.913472853391381,chlorpropamide,3
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=NOCOCCOC)[C@H](C)[C@@H](O)[C@]1(C)O,150.0,6.096979602977228,-1.3909765169334258,roxithromycin,3
Cc1onc(-c2ccccc2)c1-c1ccc(S(N)(=O)=O)cc1,20.0,0.28897116205905704,-1.8401754912587336,valdecoxib,3
CC[C@H]1[C@@H](O)[C@@H]2[C@H](CC[C@]3(C)[C@@H]([C@H](C)CCC(=O)O)CC[C@@H]23)[C@@]2(C)CC[C@@H](O)C[C@@H]12,10.0,0.045474637203197804,-2.3422307570534344,obeticholic acid,3
O=C(O)CSc1nnc(Br)n1-c1ccc(C2CC2)c2ccccc12,400.0,17.94268808316472,-1.3481724839335736,lesinurad,3
CC(C)C[C@H](NC(=O)CNC(=O)c1cc(Cl)ccc1Cl)B(O)O,4.0,0.06624763869595017,-1.7808895882601734,ixazomib,3
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,400.0,1.2028278433504025,-2.5218565186292135,norfloxacin,3
CC[C@H](Nc1ncnc2[nH]cnc12)c1nc2cccc(F)c2c(=O)n1-c1ccccc1,150.0,2.239256917063456,-1.8259873346316797,idelalisib,3
N#C[C@@H]1C[C@@H]2C[C@@H]2N1C(=O)[C@@H](N)C12CC3CC(CC(O)(C3)C1)C2,5.0,0.02538360899214673,-2.294416635042786,saxagliptin,3
N#C[C@@H]1CCCN1C(=O)CNC12CC3CC(CC(O)(C3)C1)C2,100.0,0.5099150441597413,-2.292502174737413,vildagliptin,3
Nc1nc(NC2CC2)c2ncn([C@H]3C=C[C@@H](CO)C3)c2n1,300.0,2.9835159917153424,-2.002392884704749,abacavir,3
N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,25.0,0.396815691457766,-1.7993511713522443,ruxolitinib,3
CCOc1ccc(Cc2cc([C@]34OC[C@](CO)(O3)[C@@H](O)[C@H](O)[C@H]4O)ccc2Cl)cc1,15.0,0.30898348888710386,-1.686155986351905,ertugliflozin,3
O=C(O)/C=C1/CN(C(C(=O)C2CC2)c2ccccc2F)CCC1S,10.0,0.13278786844228166,-1.876841600489391,r-138727,3
